TYPE,YEAR,MONTH,Monthly_Crime_Count_Type_wise,is_summer,is_holiday_season,is_spring,quarter,month_sin,month_cos,month_sq,summer_peak,holiday_peak
Break and Enter Residential/Other,2006,12,279,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2007,1,323,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2007,2,215,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2007,3,296,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2007,4,263,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2007,5,263,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2007,6,249,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2007,7,235,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Residential/Other,2007,8,221,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Residential/Other,2007,9,300,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Residential/Other,2007,10,253,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Residential/Other,2007,11,308,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Residential/Other,2007,12,305,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Residential/Other,2008,1,254,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Residential/Other,2008,2,233,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Residential/Other,2008,3,231,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Residential/Other,2008,4,242,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Residential/Other,2008,5,236,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Residential/Other,2008,6,240,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Residential/Other,2008,7,237,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
